company_name,website,city_state,industry,practice_area,contact_page,public_email,notes,fit_score,outreach_status,follow_up_status,last_touched_date
"Garrett Law Firm, PLLC","https://elderlawaustin.com/","Austin, TX","Law Firm","Elder Law, Estate Planning, Probate, and Special Needs Planning","https://elderlawaustin.com/","info@elderlawaustin.com","Austin elder-law and estate-planning firm with public info email and strong private document-workflow fit. Source: https://elderlawaustin.com/","90","new","none",""
"Estate Preservation Law Offices","https://estatepreservationlaw.com/","Worcester, MA","Law Firm","Estate Planning, Asset Protection, and Elder Planning","https://estatepreservationlaw.com/","info@estatepreservationlaw.com","Worcester boutique focused on estate planning and asset protection with public info email and clear precedent-heavy planning work. Source: https://estatepreservationlaw.com/","89","new","none",""
"Rothkoff Law Group","https://rothkofflaw.com/","Cherry Hill, NJ","Law Firm","Elder Law, Life Care Planning, Medicaid, and Estate Planning","https://rothkofflaw.com/","INFO@ROTHKOFFLAW.COM","NJ/PA elder-law and life-care planning firm with public info email and unusually strong long-term-care workflow fit. Source: https://rothkofflaw.com/","91","new","none",""
"Mowitz Law Group","https://www.mowitzlaw.com/","Gainesville, FL","Law Firm","Business Law, Real Estate Law, and Wills & Trusts","https://www.mowitzlaw.com/","info@mowitzlaw.com","Gainesville firm spanning business law and wills & trusts with public info email and solid repeat-document fit. Source: https://www.mowitzlaw.com/","88","new","none",""
"Florida Elder Law & Legacy Planning","https://flelderlawlegacy.com/","Tampa, FL","Law Firm","Elder Law, Estate Planning, and Special Needs Planning","https://flelderlawlegacy.com/","info@flellp.com","Board-certified Florida elder-law firm with public info email and strong planning, benefits, and legacy-document workflow fit. Source: https://flelderlawlegacy.com/","90","new","none",""
"Levin Law Group","https://ylevinlaw.com/","Brooklyn, NY","Law Firm","Business Law, Elder Law, Probate & Estate Administration, and Real Estate Law","https://ylevinlaw.com/","info@ylevinlaw.com","Multi-office NY/NJ firm with public info email and visible business-law plus elder-law practice areas that map well to private knowledge workflows. Source: https://ylevinlaw.com/","90","new","none",""
"Rodman Employment Law","https://rodmanemploymentlaw.com/","Needham, MA","Law Firm","Employment Law, HR Compliance, Contracts, and Workplace Disputes","https://rodmanemploymentlaw.com/","info@rodmanemploymentlaw.com","Boston-area employment boutique with public info email and clear employer/employee counseling plus compliance-document workload. Source: https://rodmanemploymentlaw.com/","89","new","none",""
"Elder Care Law, California","https://www.eldercarelawca.com/","Marina del Rey, CA","Law Firm","Elder Law, Conservatorship, Medi-Cal Planning, and Estate Planning","https://www.eldercarelawca.com/contact-us/","info@eldercarelawca.com","California elder-law practice with public info email and clear care-planning plus benefits-document workflow fit. Source: https://www.eldercarelawca.com/contact-us/","89","new","none",""
"Clearwater Business Law","https://clearwaterbusinessattorney.com/","Clearwater, FL","Law Firm","Business Formation, Contracts, Commercial Law, and Litigation","https://clearwaterbusinessattorney.com/","info@clearwaterbusinesslaw.com","Florida boutique focused on small and mid-sized business counsel with public info email and strong outside-counsel positioning. Source: https://clearwaterbusinessattorney.com/","88","new","none",""
"Small Business Law Group","https://sblglaw.com/home/","Irvine, CA","Law Firm","Small Business Counsel, Transactions, Corporate Finance, and Joint Ventures","https://sblglaw.com/home/","info@sblglaw.com","Business-law group explicitly built around ongoing small-business legal support with public info email and strong internal-knowledge fit. Source: https://sblglaw.com/home/","89","new","none",""
