company_name,website,city_state,industry,practice_area,contact_page,public_email,notes,fit_score,outreach_status,follow_up_status,last_touched_date
"The Siegel Law Firm","https://www.thesiegelawfirm.com/","Garden City, NY","Law Firm","Employment Law","https://www.thesiegelawfirm.com/","info@thesiegelawfirm.com","Employment and labor practice with public contact email. Source: https://www.thesiegelawfirm.com/","92","new","none",""
"Pechman Law Group","https://www.pechmanlaw.com/","New York, NY","Law Firm","Labor and Employment Law","https://www.pechmanlaw.com/contact/","info@pechmanlaw.com","Labor and employment law boutique with public contact email and clear contact page. Source: https://www.pechmanlaw.com/contact/","90","new","none",""
"The Wolf Law Firm","https://www.thewolflawfirm.com/","Rochester, MI","Law Firm","Business and Employment Litigation","https://www.thewolflawfirm.com/contact/","","Business, civil, and employment litigation with public contact page. Source: https://www.thewolflawfirm.com/contact/","87","new","none",""
"Berkshire Law Group","https://berkshirelawgroup.com/","Lenox, MA","Law Firm","Estate Planning and Elder Law","https://berkshirelawgroup.com/contact-us/","info@berkshirelawgroup.com","Estate planning and elder law focus with public email and contact page. Source: https://berkshirelawgroup.com/contact-us/","88","new","none",""
"Estate Planning Boston","https://estateplanningboston.com/","Boston, MA","Law Firm","Estate Planning","https://estateplanningboston.com/","","Estate planning and trust-focused practice that looks document-heavy and private-client oriented. Source: https://estateplanningboston.com/","84","new","none",""
"Diaspora Law","https://diasporalaw.com/","New Jersey","Law Firm","Business, Employment, and Immigration Law","https://diasporalaw.com/","info@diasporalaw.com","Business, employment, and immigration practice with public email. Source: https://diasporalaw.com/","89","new","none",""
"Sachs Mazur","https://fimlaw.com/","Garden City, NY","Law Firm","Trusts, Estates, and Business Law","https://fimlaw.com/contact/","info@fimlaw.com","Trusts, estates, and business law with public email and contact page. Source: https://fimlaw.com/contact/","88","new","none",""
"Hanlon Niemann & Wright","https://hnwlaw.com/business-law/","Freehold, NJ","Law Firm","Business, Labor, and Corporate Law","https://hnwlaw.com/business-law/","","Business, labor, and corporate law focus with likely internal document review needs. Source: https://hnwlaw.com/business-law/","86","new","none",""
"Hirsh Law","https://www.hirshbusinesslaw.com/","New Jersey","Law Firm","Business Law","https://www.hirshbusinesslaw.com/","","Business-law focused practice with contact path on site. Source: https://www.hirshbusinesslaw.com/","85","new","none",""
"SSGB Law","https://ssgblaw.com/","Northport, NY","Law Firm","Business and Employment Litigation","https://ssgblaw.com/contact-us/","info@ssgblaw.com","Business and employment litigation practice with public email and contact page. Source: https://ssgblaw.com/contact-us/","87","new","none",""
