company_name,website,public_email,city_state,source,offer_fit,lead_status,verification_status,next_step
Main Street Title,https://mainsttitle.com/,mst@mainsttitle.com,"Hackensack, NJ",JVT lead DB,"Title offices receive time-sensitive buyer/seller calls and document-status questions that can become structured intake packets.",new,candidate,"Verify contact page and decide whether to position title-intake or missed-call capture."
Matus Law Group,https://matuslaw.com/,admin@matuslaw.com,"Barnegat, NJ",JVT lead DB,"Estate and elder-law offices receive urgent intake calls, document questions, and family follow-ups that should be routed without AI advice.",new,candidate,"Verify office contact role and clean polluted location field before outreach."
N.Y. Renovation Services,https://renovationservices.com/,info@renovationservices.com,"SI, NJ",JVT lead DB,"Contractor/home-services lead capture is a direct fit for after-hours missed-call summaries.",sent,candidate-for-offer-pivot,"Use AI receptionist demo link if following up; avoid document-assistant framing."
Sound Management,https://soundmanagement.net/,info@soundmanagement.net,"Chester County, PA",JVT lead DB,"Property management teams receive maintenance, rental, and callback requests that need structured routing.",sent,candidate-for-offer-pivot,"Verify current contact page and position intake triage for property requests."
The Mortgage Group,https://themortgagegroup.net/,info@themortgagegroup.net,"Miami, FL",JVT lead DB,"Mortgage offices receive lead calls and document-status questions that benefit from intake summaries.",sent,candidate-for-offer-pivot,"Use phone/intake angle rather than private-document assistant."
Legacy Settlement Services LLC,https://legacyfortitle.com/,info@legacyfortitle.com,"Fort Mill, SC",JVT sent queue,"Settlement/title work creates closing-status and document-collection calls.",sent,candidate-for-offer-pivot,"Verify if public inbox remains active before follow-up."
Real Title Carolinas,https://realtitlecarolinas.com/,thankyou@realtitlecarolinas.com,"South Carolina",JVT sent queue,"Real-estate title teams receive buyer/seller/agent questions that can be captured and routed.",sent,needs-recipient-review,"Find a better public business inbox before sending a voice-intake offer."
Law Office of Paul J. Fellin,https://pjflawny.com/,pfellin@pjflawny.com,"Malverne, NY",JVT lead DB,"Estate-planning and elder-law intake is a strong fit if the assistant only captures and routes.",sent,candidate-for-offer-pivot,"Use guardrail-first message: no legal advice, only intake packet."
Rampulla & Newstad LLP,https://rampullanewstad.com/,info@rampullanewstad.com,"Staten Island, NY",JVT lead DB,"Elder-law and estate-planning call capture can reduce missed context and staff interruptions.",sent,candidate-for-offer-pivot,"Consider after no-reply window; do not send same-day follow-up."
Main Street Title,https://mainsttitle.com/,mst@mainsttitle.com,"Hackensack, NJ",JVT lead DB,"Useful first live title-services target because it is unsent and offer-fit is clearer than document assistant.",new,priority-candidate,"Research owner/operations contact and create voice-intake outreach packet."
